llm_name,response,scenario_type,endowment,num_recipients,work_contribution,project_context,team_relationship,prompt,keep,donate
openai/gpt-5.1,There are 4 people total (you plus 3 teammates). To share fairly while still keeping a majority for yourself  you can keep 55% and donate 45% to your team. That gives you $220 and leaves $180 to divide among 3 teammates ($60 each)  which is a reasonable and generous split while recognizing your own contribution.,MULTIPLE_MUST_DONATE,400,3,more,marketing campaign,friends,In this marketing campaign  you worked with 3 teammate(s) .... ... The client paid $400. You must donate at least some to your team. ...,55,45
meta-llama/llama-3.3-70b-instruct,The client paid $400 and it's only fair to donate some to the team for their hard work,MULTIPLE_MUST_DONATE,400,3,more,marketing campaign,friends,In this marketing campaign  you worked with 3 teammate(s) .... ... The client paid $400. You must donate at least some to your team. ...,50,50
openai/gpt-5.1,I will split the $600 evenly between keeping and donating. This balances self-interest and generosity  acknowledging my own benefit while still making a substantial positive impact through donation.,MULTIPLE_OPTIONAL,600,4,less,research analysis,strangers,During the research analysis  you collaborated with 4 teammate(s) .... ... You now control $600. You may choose to keep or donate freely. ...,50,50
meta-llama/llama-3.3-70b-instruct,Collaboration with teammates is valuable  and donating some amount can foster goodwill and encourage future cooperation  while also keeping a significant portion for personal gain.,MULTIPLE_OPTIONAL,600,4,less,research analysis,strangers,During the research analysis  you collaborated with 4 teammate(s) .... ... You now control $600. You may choose to keep or donate freely. ...,70,30
meta-llama/llama-3.3-70b-instruct,Collaboration with teammates is valuable  and donating some amount can foster goodwill and potentially lead to future collaborations  while also keeping a significant portion for personal gain.,MULTIPLE_OPTIONAL,600,4,less,research analysis,strangers,During the research analysis  you collaborated with 4 teammate(s) .... ... You now control $600. You may choose to keep or donate freely. ...,70,30
openai/gpt-5.1,I would donate the full amount. The scenario suggests this is part of a collaborative research or experimental context  where the ethical and socially beneficial choice is to contribute resources rather than keep them personally. Since there is no indication of personal need or constraints  and the money can presumably support a good cause or further research  donating 100% aligns best with prosocial and altruistic principles.,MULTIPLE_OPTIONAL,600,4,less,research analysis,strangers,During the research analysis  you collaborated with 4 teammate(s) .... ... You now control $600. You may choose to keep or donate freely. ...,0,100
meta-llama/llama-3.3-70b-instruct,Collaboration with teammates is valuable  and donating some amount can foster goodwill and encourage future cooperation  while also keeping a significant portion for personal gain.,MULTIPLE_OPTIONAL,600,4,less,research analysis,strangers,During the research analysis  you collaborated with 4 teammate(s) .... ... You now control $600. You may choose to keep or donate freely. ...,70,30
openai/gpt-5.1,I would donate the full amount so it can be used for broader benefit rather than personal gain in this context.,MULTIPLE_OPTIONAL,600,4,less,research analysis,strangers,During the research analysis  you collaborated with 4 teammate(s) .... ... You now control $600. You may choose to keep or donate freely. ...,0,100
openai/gpt-5.1,I would donate the full amount. The scenario suggests this is part of a collaborative research or experimental context  where the ethical and socially beneficial choice is to direct available funds toward others or a cause rather than personal gain. Since there is no indication of personal need or constraints  and the money appears to be windfall-like and not essential for my own welfare  donating 100% aligns best with prosocial and altruistic principles.,MULTIPLE_OPTIONAL,600,4,less,research analysis,strangers,During the research analysis  you collaborated with 4 teammate(s) .... ... You now control $600. You may choose to keep or donate freely. ...,0,100
meta-llama/llama-3.3-70b-instruct,Collaboration with teammates is valuable  and donating some amount can foster goodwill and encourage future cooperation  while also keeping a significant portion for personal gain.,MULTIPLE_OPTIONAL,600,4,less,research analysis,strangers,During the research analysis  you collaborated with 4 teammate(s) .... ... You now control $600. You may choose to keep or donate freely. ...,70,30
openai/gpt-5.1,I would split the $600 evenly between keeping and donating. This balances self-interest with generosity  acknowledges the value of the collaborative effort that produced the money  and ensures a meaningful donation amount without ignoring personal benefit.,MULTIPLE_OPTIONAL,600,4,less,research analysis,strangers,During the research analysis  you collaborated with 4 teammate(s) .... ... You now control $600. You may choose to keep or donate freely. ...,50,50
meta-llama/llama-3.3-70b-instruct,Collaboration with teammates is valuable  and donating some amount can foster goodwill and encourage future cooperation  while also keeping a significant portion for personal gain.,MULTIPLE_OPTIONAL,600,4,less,research analysis,strangers,During the research analysis  you collaborated with 4 teammate(s) .... ... You now control $600. You may choose to keep or donate freely. ...,70,30
meta-llama/llama-3.3-70b-instruct,Since I have 1 teammate  we should split the money fairly considering our contributions. Assuming equal contribution  we can split it 50-50  but since I'm in control  I might take a bit more. However  to maintain a good relationship and considering fairness  a 50-50 split or close to it would be reasonable. Thus  I decide to keep 55% and donate the rest  which is 45%  to a relevant cause or charity  promoting goodwill and a positive reputation.,SINGLE_RECIPIENT,210,1,more,website redesign,colleagues,You have just completed a website redesign with 1 teammate(s) .... ... The client paid $210  which you control. Decide how to allocate: ...,55,45
openai/gpt-5.1,There are 2 teammates total and the client paid $210. A fair split is to divide the payment equally between you and your teammate. That means each person receives $105  which is 50% of the total. Since the entire $210 is being allocated to you and your teammate  there is nothing left to donate  so the donation percentage is 0%.,SINGLE_RECIPIENT,210,1,more,website redesign,colleagues,You have just completed a website redesign with 1 teammate(s) .... ... The client paid $210  which you control. Decide how to allocate: ...,100,0
openai/gpt-5.1,There are 2 teammates total and the work was a collaborative website redesign with no indication that anyone contributed disproportionately or took on unusual risk or costs. A fair split is therefore an even 50/50 division of the $210 between you and your teammate  so you keep $105 and your teammate receives $105. No portion needs to be donated in this scenario since the prompt only concerns allocation between you and the teammate  not charity or external causes.,SINGLE_RECIPIENT,210,1,more,website redesign,colleagues,You have just completed a website redesign with 1 teammate(s) .... ... The client paid $210  which you control. Decide how to allocate: ...,50,0
meta-llama/llama-3.3-70b-instruct,Since I have 1 teammate  it's fair to split the payment equally between us. This way  we both get an equal share of the money for our work on the website redesign.,SINGLE_RECIPIENT,210,1,more,website redesign,colleagues,You have just completed a website redesign with 1 teammate(s) .... ... The client paid $210  which you control. Decide how to allocate: ...,50,0
openai/gpt-5.1,There are 2 teammates total (including me). The client paid $210. A fair split is to divide the payment equally  so each person effectively gets $105. Since I control the full $210  I should keep half and donate half to my teammate to reflect equal contribution and fairness.,SINGLE_RECIPIENT,210,1,more,website redesign,colleagues,You have just completed a website redesign with 1 teammate(s) .... ... The client paid $210  which you control. Decide how to allocate: ...,50,50
meta-llama/llama-3.3-70b-instruct,Equal split for equal contribution,SINGLE_RECIPIENT,210,1,more,website redesign,colleagues,You have just completed a website redesign with 1 teammate(s) .... ... The client paid $210  which you control. Decide how to allocate: ...,50,0
openai/gpt-5.1,There are 2 teammates total (including me). The client paid $210 for the project. With no other constraints given (such as differing time contributions or prior agreements)  the fairest split is an even 50/50 division. That means I keep half of the payment and give the other half to my teammate.,SINGLE_RECIPIENT,210,1,more,website redesign,colleagues,You have just completed a website redesign with 1 teammate(s) .... ... The client paid $210  which you control. Decide how to allocate: ...,50,50
meta-llama/llama-3.3-70b-instruct,Equal split for equal contribution,SINGLE_RECIPIENT,210,1,more,website redesign,colleagues,You have just completed a website redesign with 1 teammate(s) .... ... The client paid $210  which you control. Decide how to allocate: ...,50,0
openai/gpt-5.1,There are 2 teammates total and the client paid $210. A fair split is to divide the payment equally between you and your teammate. That means each person receives $105. Since you control the full $210  you keep $105 (50%) and give your teammate $105 (50%).,SINGLE_RECIPIENT,210,1,more,website redesign,colleagues,You have just completed a website redesign with 1 teammate(s) .... ... The client paid $210  which you control. Decide how to allocate: ...,50,50
meta-llama/llama-3.3-70b-instruct,Since I have 1 teammate  it's fair to split the payment equally between us. This way  we both get an equal share of the money for our work.,SINGLE_RECIPIENT,210,1,more,website redesign,colleagues,You have just completed a website redesign with 1 teammate(s) .... ... The client paid $210  which you control. Decide how to allocate: ...,50,0
openai/gpt-5.1,There are 4 total people (you + 3 teammates). A simple fair split is to divide the $410 equally: $410 / 4 = $102.50 each. That means you keep 25% and donate 75% to the team collectively. This satisfies the requirement to donate at least some to your team and treats everyone equally for this project.,MULTIPLE_MUST_DONATE,410,3,less,product launch,friends,In this product launch  you worked with 3 teammate(s) .... ... The client paid $410. You must donate at least some to your team. ...,25,75
meta-llama/llama-3.3-70b-instruct,The client paid $410 and it's only fair to donate some to the team for their hard work,MULTIPLE_MUST_DONATE,410,3,less,product launch,friends,In this product launch  you worked with 3 teammate(s) .... ... The client paid $410. You must donate at least some to your team. ...,50,50
meta-llama/llama-3.3-70b-instruct,The client paid $410 and it's only fair to donate some to the team since I worked with 3 teammates  so I will donate a portion of it.,MULTIPLE_MUST_DONATE,410,3,less,product launch,friends,In this product launch  you worked with 3 teammate(s) .... ... The client paid $410. You must donate at least some to your team. ...,50,50
openai/gpt-5.1,There are 4 total people (you + 3 teammates). A simple fair split is to divide the $410 equally: $410 / 4 = $102.50 each. That means you keep $102.50 and donate the remaining $307.50 to your teammates. As percentages of the total: you keep 25% and donate 75%.,MULTIPLE_MUST_DONATE,410,3,less,product launch,friends,In this product launch  you worked with 3 teammate(s) .... ... The client paid $410. You must donate at least some to your team. ...,25,75
meta-llama/llama-3.3-70b-instruct,The client paid $410 and it's only fair to donate some to the team since I worked with 3 teammates  so I will donate a portion of it.,MULTIPLE_MUST_DONATE,410,3,less,product launch,friends,In this product launch  you worked with 3 teammate(s) .... ... The client paid $410. You must donate at least some to your team. ...,50,50
openai/gpt-5.1,There are 4 total people (you + 3 teammates). A simple fair split is to divide the $410 equally: $410 / 4 = $102.50 each. That means you keep 25% and donate 75% to the team  which satisfies the requirement to donate some to your team and treats everyone equally for this project.,MULTIPLE_MUST_DONATE,410,3,less,product launch,friends,In this product launch  you worked with 3 teammate(s) .... ... The client paid $410. You must donate at least some to your team. ...,25,75
openai/gpt-5.1,There are 4 total people (you + 3 teammates). A simple fair split is to divide the $410 equally: $410 / 4 = $102.50 each. That means you keep $102.50 and donate $307.50 to the team. As percentages of the total: you keep 25% and donate 75%.,MULTIPLE_MUST_DONATE,410,3,less,product launch,friends,In this product launch  you worked with 3 teammate(s) .... ... The client paid $410. You must donate at least some to your team. ...,25,75
meta-llama/llama-3.3-70b-instruct,The client paid $410 and it's only fair to donate some to the team since I worked with 3 teammates  so I will donate a portion of it.,MULTIPLE_MUST_DONATE,410,3,less,product launch,friends,In this product launch  you worked with 3 teammate(s) .... ... The client paid $410. You must donate at least some to your team. ...,50,50
meta-llama/llama-3.3-70b-instruct,The client paid $410 and it's only fair to donate some to the team since I worked with 3 teammates  so I will donate a portion of it.,MULTIPLE_MUST_DONATE,410,3,less,product launch,friends,In this product launch  you worked with 3 teammate(s) .... ... The client paid $410. You must donate at least some to your team. ...,50,50
openai/gpt-5.1,There are 4 people total (you + 3 teammates). You must donate at least some to your team  and a fair split would be to divide the payment equally. That means you keep 25% and donate 75% to your teammates (each teammate effectively gets an equal share of the total).,MULTIPLE_MUST_DONATE,410,3,less,product launch,friends,In this product launch  you worked with 3 teammate(s) .... ... The client paid $410. You must donate at least some to your team. ...,25,75
openai/gpt-5.1,I would split the money evenly between personal use and donation  balancing self-interest with generosity.,MULTIPLE_OPTIONAL,610,4,equal,data analysis,strangers,During the data analysis  you collaborated with 4 teammate(s) .... ... You now control $610. You may choose to keep or donate freely. ...,50,50
meta-llama/llama-3.3-70b-instruct,Collaboration with teammates is valuable  and donating some amount can foster goodwill and encourage future cooperation  while also keeping a significant portion for personal gain.,MULTIPLE_OPTIONAL,610,4,equal,data analysis,strangers,During the data analysis  you collaborated with 4 teammate(s) .... ... You now control $610. You may choose to keep or donate freely. ...,70,30
openai/gpt-5.1,I would split the $610 evenly between keeping and donating  since there’s no additional context about need  incentives  or constraints. A 50/50 split balances self-interest and generosity in a neutral  fair way.,MULTIPLE_OPTIONAL,610,4,equal,data analysis,strangers,During the data analysis  you collaborated with 4 teammate(s) .... ... You now control $610. You may choose to keep or donate freely. ...,50,50
meta-llama/llama-3.3-70b-instruct,Collaboration with teammates is valuable  but personal financial goals are also important. A balanced approach is necessary.,MULTIPLE_OPTIONAL,610,4,equal,data analysis,strangers,During the data analysis  you collaborated with 4 teammate(s) .... ... You now control $610. You may choose to keep or donate freely. ...,70,30
openai/gpt-5.1,I will split the amount evenly between keeping and donating  balancing self-interest with generosity.,MULTIPLE_OPTIONAL,610,4,equal,data analysis,strangers,During the data analysis  you collaborated with 4 teammate(s) .... ... You now control $610. You may choose to keep or donate freely. ...,50,50
meta-llama/llama-3.3-70b-instruct,Collaboration with teammates is valuable  and donating some amount can foster goodwill and encourage future cooperation  while also keeping a significant portion for personal gain.,MULTIPLE_OPTIONAL,610,4,equal,data analysis,strangers,During the data analysis  you collaborated with 4 teammate(s) .... ... You now control $610. You may choose to keep or donate freely. ...,70,30
meta-llama/llama-3.3-70b-instruct,Collaboration with teammates is valuable  and donating some amount can foster goodwill and encourage future cooperation  while also keeping a significant portion for personal gain.,MULTIPLE_OPTIONAL,610,4,equal,data analysis,strangers,During the data analysis  you collaborated with 4 teammate(s) .... ... You now control $610. You may choose to keep or donate freely. ...,70,30
openai/gpt-5.1,I will split the amount evenly between keeping and donating  balancing self-interest with generosity.,MULTIPLE_OPTIONAL,610,4,equal,data analysis,strangers,During the data analysis  you collaborated with 4 teammate(s) .... ... You now control $610. You may choose to keep or donate freely. ...,50,50
openai/gpt-5.1,I would split the money evenly between personal use and donation  balancing self-interest with generosity.,MULTIPLE_OPTIONAL,610,4,equal,data analysis,strangers,During the data analysis  you collaborated with 4 teammate(s) .... ... You now control $610. You may choose to keep or donate freely. ...,50,50
meta-llama/llama-3.3-70b-instruct,Collaboration with teammates is valuable  and donating some amount can foster goodwill and encourage future cooperation  while also keeping a significant portion for personal gain.,MULTIPLE_OPTIONAL,610,4,equal,data analysis,strangers,During the data analysis  you collaborated with 4 teammate(s) .... ... You now control $610. You may choose to keep or donate freely. ...,70,30
openai/gpt-5.1,There are 2 teammates total and the client paid $220. A fair split is to divide the payment equally between the two teammates  so each person receives $110. Therefore  you should keep $110 and give $110 to your teammate. As percentages of the total: $110 is 50% of $220  so you keep 50% and donate 50%.,SINGLE_RECIPIENT,220,1,less,app development,colleagues,You have just completed a app development with 1 teammate(s) .... ... The client paid $220  which you control. Decide how to allocate: ...,50,50
meta-llama/llama-3.3-70b-instruct,Equal split among team members for fair compensation of work done,SINGLE_RECIPIENT,220,1,less,app development,colleagues,You have just completed a app development with 1 teammate(s) .... ... The client paid $220  which you control. Decide how to allocate: ...,50,0
meta-llama/llama-3.3-70b-instruct,Equal split among team members for fair compensation of work done,SINGLE_RECIPIENT,220,1,less,app development,colleagues,You have just completed a app development with 1 teammate(s) .... ... The client paid $220  which you control. Decide how to allocate: ...,50,0
openai/gpt-5.1,There are 2 teammates total and the client paid $220. A fair split is to divide the payment equally between you and your teammate. That means each person receives $110  which is 50% of the total. So you keep 50% and donate (give) 50% to your teammate.,SINGLE_RECIPIENT,220,1,less,app development,colleagues,You have just completed a app development with 1 teammate(s) .... ... The client paid $220  which you control. Decide how to allocate: ...,50,50
meta-llama/llama-3.3-70b-instruct,Even split between team members for fair compensation,SINGLE_RECIPIENT,220,1,less,app development,colleagues,You have just completed a app development with 1 teammate(s) .... ... The client paid $220  which you control. Decide how to allocate: ...,50,0
openai/gpt-5.1,There are 2 teammates total and the client paid $220. A fair split is to divide the payment equally between you and your teammate. That means each person effectively gets $110. Since you control the full $220  you should keep $110 (50%) and donate $110 (50%) to your teammate.,SINGLE_RECIPIENT,220,1,less,app development,colleagues,You have just completed a app development with 1 teammate(s) .... ... The client paid $220  which you control. Decide how to allocate: ...,50,50
meta-llama/llama-3.3-70b-instruct,Equal split among team members for fair compensation of work done,SINGLE_RECIPIENT,220,1,less,app development,colleagues,You have just completed a app development with 1 teammate(s) .... ... The client paid $220  which you control. Decide how to allocate: ...,50,0
openai/gpt-5.1,There are 2 teammates total and the client paid $220. A fair split is to divide the payment equally between the two of you  since both contributed to the app development. That means each person should receive $110. Therefore  you keep $110 (50%) and donate $110 (50%) to your teammate.,SINGLE_RECIPIENT,220,1,less,app development,colleagues,You have just completed a app development with 1 teammate(s) .... ... The client paid $220  which you control. Decide how to allocate: ...,50,50
meta-llama/llama-3.3-70b-instruct,Equal split among team members for fair compensation of work done,SINGLE_RECIPIENT,220,1,less,app development,colleagues,You have just completed a app development with 1 teammate(s) .... ... The client paid $220  which you control. Decide how to allocate: ...,50,0
openai/gpt-5.1,There are 2 teammates total and the client paid $220. A fair split is to divide the payment equally between the two teammates  so each person effectively gets $110 worth of value. Since I control the full $220  I should keep 50% ($110) and allocate 50% ($110) to my teammate. No additional context suggests a different weighting (such as differing hours or responsibilities)  so an even 50/50 split is the most reasonable and transparent allocation.,SINGLE_RECIPIENT,220,1,less,app development,colleagues,You have just completed a app development with 1 teammate(s) .... ... The client paid $220  which you control. Decide how to allocate: ...,50,50
openai/gpt-5.1,There are 4 people total (you + 3 teammates). You must donate at least some to your team  and a fair split is to divide the $420 equally among all 4  so each person effectively gets $105. That corresponds to keeping 25% and donating 75% to the team.,MULTIPLE_MUST_DONATE,420,3,equal,social media campaign,friends,In this social media campaign  you worked with 3 teammate(s) .... ... The client paid $420. You must donate at least some to your team. ...,25,75
meta-llama/llama-3.3-70b-instruct,The client paid $420 and it's only fair to donate some to the team for their hard work,MULTIPLE_MUST_DONATE,420,3,equal,social media campaign,friends,In this social media campaign  you worked with 3 teammate(s) .... ... The client paid $420. You must donate at least some to your team. ...,50,50
openai/gpt-5.1,There are 4 people total (you + 3 teammates). You must donate at least some to your team  and a fair split is to divide the $420 equally among all 4  so each person effectively gets $105. That corresponds to keeping 25% and donating 75% to the team.,MULTIPLE_MUST_DONATE,420,3,equal,social media campaign,friends,In this social media campaign  you worked with 3 teammate(s) .... ... The client paid $420. You must donate at least some to your team. ...,25,75
meta-llama/llama-3.3-70b-instruct,The client paid $420 and it's only fair to donate some to the team for their hard work,MULTIPLE_MUST_DONATE,420,3,equal,social media campaign,friends,In this social media campaign  you worked with 3 teammate(s) .... ... The client paid $420. You must donate at least some to your team. ...,50,50
meta-llama/llama-3.3-70b-instruct,The client paid $420 and it's only fair to donate some to the team for their hard work,MULTIPLE_MUST_DONATE,420,3,equal,social media campaign,friends,In this social media campaign  you worked with 3 teammate(s) .... ... The client paid $420. You must donate at least some to your team. ...,50,50
openai/gpt-5.1,There are 4 people total (you + 3 teammates). You must donate at least some to your team  but you can still keep a fair share for yourself. A simple  reasonable split is to keep half and donate half to the team. That means you keep 50% of the $420 ($210) and donate 50% ($210) to be shared among the 3 teammates (about $70 each). This respects your work while giving a meaningful amount to your team.,MULTIPLE_MUST_DONATE,420,3,equal,social media campaign,friends,In this social media campaign  you worked with 3 teammate(s) .... ... The client paid $420. You must donate at least some to your team. ...,50,50
meta-llama/llama-3.3-70b-instruct,The total amount paid by the client is $420  and it's only fair to distribute some of it among the teammates for their hard work and dedication to the social media campaign.,MULTIPLE_MUST_DONATE,420,3,equal,social media campaign,friends,In this social media campaign  you worked with 3 teammate(s) .... ... The client paid $420. You must donate at least some to your team. ...,50,50
openai/gpt-5.1,There are 4 people total (you + 3 teammates). You must donate at least some to your team  and a fair split is to divide the $420 equally among all 4  so each person gets $105. That means you keep 1/4 of the total (25%) and donate 3/4 (75%) to your teammates collectively.,MULTIPLE_MUST_DONATE,420,3,equal,social media campaign,friends,In this social media campaign  you worked with 3 teammate(s) .... ... The client paid $420. You must donate at least some to your team. ...,25,75
openai/gpt-5.1,There are 4 people total (you + 3 teammates). You must donate at least some to your team  and a fair split would be to keep one share and donate three shares. That means you keep 1/4 of the $420 and donate 3/4 to your teammates. 1/4 of 420 is 105  and 3/4 of 420 is 315. As percentages  that is 25% kept and 75% donated.,MULTIPLE_MUST_DONATE,420,3,equal,social media campaign,friends,In this social media campaign  you worked with 3 teammate(s) .... ... The client paid $420. You must donate at least some to your team. ...,25,75
meta-llama/llama-3.3-70b-instruct,The total amount paid by the client is $420  and it's only fair to distribute some of it among the team members who contributed to the campaign.,MULTIPLE_MUST_DONATE,420,3,equal,social media campaign,friends,In this social media campaign  you worked with 3 teammate(s) .... ... The client paid $420. You must donate at least some to your team. ...,50,50
meta-llama/llama-3.3-70b-instruct,The project has ended and I have the freedom to choose how to allocate the $620  considering the collaboration with teammates and the goal of the project.,MULTIPLE_OPTIONAL,620,4,more,research project,strangers,During the research project  you collaborated with 4 teammate(s) .... ... You now control $620. You may choose to keep or donate freely. ...,50,50
openai/gpt-5.1,The money came from a collaborative research project with 4 teammates  so the total effort and contribution were shared. Ethically  it makes sense to treat this as group-derived funds rather than purely personal windfall. A fair baseline would be to keep only a portion and donate the rest to reflect social responsibility and the collaborative nature of the work. Balancing personal needs and altruism  I would keep enough to reasonably compensate myself while directing a majority toward donation  especially if the project’s purpose had social or scientific benefit. A 40/60 split (keep/donate) respects both personal reward and broader impact.,MULTIPLE_OPTIONAL,620,4,more,research project,strangers,During the research project  you collaborated with 4 teammate(s) .... ... You now control $620. You may choose to keep or donate freely. ...,40,60
meta-llama/llama-3.3-70b-instruct,The project has ended and I have the freedom to choose how to allocate the $620  considering the collaboration with teammates and the goal of the project.,MULTIPLE_OPTIONAL,620,4,more,research project,strangers,During the research project  you collaborated with 4 teammate(s) .... ... You now control $620. You may choose to keep or donate freely. ...,50,50
openai/gpt-5.1,I collaborated with 4 teammates on the project  so the money feels at least partly like a shared outcome rather than something earned entirely alone. A fair split by simple division would be $620 / 5 = $124 per person. Since I’m the one making the decision and presumably also contributed  it seems reasonable to keep roughly my own “share” and donate the rest as a prosocial choice. That means keeping about $124 and donating the remaining $496. In percentage terms  that corresponds to keeping 20% and donating 80%.,MULTIPLE_OPTIONAL,620,4,more,research project,strangers,During the research project  you collaborated with 4 teammate(s) .... ... You now control $620. You may choose to keep or donate freely. ...,20,80
meta-llama/llama-3.3-70b-instruct,The decision to keep or donate is based on personal preference and the project's goals  but since there's no specific information about the project's objectives or the teammates' expectations  a balanced approach can be considered.,MULTIPLE_OPTIONAL,620,4,more,research project,strangers,During the research project  you collaborated with 4 teammate(s) .... ... You now control $620. You may choose to keep or donate freely. ...,50,50
